order_id,product_category,quantity,price
6373,Electronics,4,678.56
5006,Home,2,1940.31
9359,Home,2,2851.4
1151,Grocery,3,2573.46
5374,Electronics,2,267.44
9112,Electronics,2,2352.61
2463,Grocery,1,585.04
9763,Beauty,1,1055.74
4187,Beauty,4,2229.4
8144,Home,3,1339.76
375,Electronics,1,2403.15
1199,Electronics,2,2708.14
5582,Grocery,4,638.53
7849,Grocery,2,603.31
5505,Home,2,857.65
1755,Beauty,2,1228.15
9886,Beauty,3,889.02
4986,Beauty,3,2971.76
2840,Fashion,1,2652.39
2387,Fashion,1,193.42
6310,Home,2,636.51
6259,Fashion,1,1628.13
6121,Grocery,4,1345.14
3918,Fashion,2,596.21
124,Grocery,4,2497.22
5836,Fashion,4,296.98
473,Home,2,2488.83
8713,Fashion,1,1638.06
4933,Grocery,4,2214.48
5347,Home,4,2552.06
4005,Beauty,3,2725.41
2056,Beauty,3,2183.53
7663,Fashion,2,522.66
6977,Electronics,2,1356.09
998,Beauty,4,296.11
1379,Fashion,1,917.54
8010,Grocery,1,2116.74
7502,Home,2,2421.7
75,Grocery,4,2291.31
7850,Grocery,1,649.26
6094,Electronics,2,2883.69
4627,Beauty,1,2538.87
4339,Home,2,2565.16
4002,Fashion,2,1008.17
7266,Beauty,2,330.82
8225,Beauty,3,2191.13
4976,Grocery,3,999.7
505,Home,1,1567.25
942,Fashion,3,329.56
1663,Grocery,2,847.81
950,Fashion,3,2513.9
6503,Electronics,2,1456.37
7100,Beauty,1,1359.4
809,Beauty,2,1623.68
3888,Fashion,3,581.78
3424,Grocery,1,967.42
484,Grocery,1,1048.22
9876,Beauty,3,1844.22
9775,Beauty,4,2850.32
3040,Fashion,4,2545.0
7983,Fashion,2,1350.86
3555,Electronics,3,2642.55
4492,Fashion,2,1883.07
1817,Home,2,183.8
1081,Electronics,4,1573.13
6493,Fashion,1,744.0
4505,Grocery,2,2018.42
4712,Beauty,1,1183.42
2514,Electronics,1,2496.3
6008,Beauty,2,1114.58
3963,Grocery,2,1183.33
1963,Grocery,2,1548.05
9956,Grocery,3,2577.97
56,Grocery,2,311.81
312,Beauty,4,1657.81
2173,Home,1,1905.68
4316,Grocery,2,931.39
9673,Home,1,1386.33
4590,Grocery,3,1739.37
9788,Grocery,1,632.85
9135,Fashion,3,1048.6
5559,Fashion,4,820.19
5968,Home,2,2267.87
9889,Electronics,3,2070.89
9448,Home,2,1329.31
4482,Beauty,3,144.84
8601,Fashion,1,2353.36
5159,Home,3,1649.57
505,Home,2,1923.09
3572,Home,1,1807.52
305,Home,4,2860.58
3268,Home,2,2321.92
7844,Fashion,3,1046.63
6879,Grocery,4,2701.02
8978,Electronics,4,424.39
1454,Beauty,3,167.91
9123,Electronics,3,473.61
1353,Beauty,3,363.39
7676,Home,4,2494.79
2133,Fashion,4,1792.6
6534,Beauty,1,313.61
9046,Electronics,1,2691.6
2054,Electronics,3,450.25
5310,Home,1,2719.32
2596,Electronics,1,728.48
4107,Home,4,151.39
4053,Home,2,860.4
6950,Grocery,2,448.35
3733,Home,2,2740.62
6339,Electronics,4,1684.07
9971,Home,1,893.41
2595,Electronics,1,838.94
4919,Home,3,1141.08
4330,Home,1,1156.24
1908,Fashion,1,2048.06
4404,Home,4,2841.72
2335,Home,1,1321.93
1630,Home,1,2900.13
2606,Grocery,1,712.07
1432,Beauty,4,1678.68
5250,Electronics,4,1931.57
2910,Grocery,4,2697.22
3709,Grocery,2,370.31
3671,Fashion,4,2013.03
4093,Beauty,1,556.65
1583,Beauty,3,2259.91
2745,Electronics,3,1520.2
5184,Home,4,2240.37
2362,Beauty,1,202.34
471,Electronics,4,2459.88
2732,Grocery,4,2684.43
1733,Beauty,1,725.07
9152,Electronics,2,1207.27
7104,Grocery,2,1245.73
4849,Grocery,3,2233.53
9541,Fashion,4,1580.85
4246,Electronics,2,2155.09
7121,Electronics,4,467.02
8311,Fashion,1,2460.42
2597,Electronics,2,1617.84
6506,Electronics,3,285.23
5946,Grocery,2,452.42
1902,Beauty,2,2667.67
4465,Fashion,1,2484.64
2381,Fashion,4,2679.49
1087,Grocery,4,877.99
4987,Beauty,1,967.24
454,Home,4,1833.98
7611,Home,4,1551.65
6194,Electronics,4,2413.01
4527,Home,2,727.57
1239,Electronics,2,1369.95
2692,Home,2,1146.68
8445,Beauty,1,1106.22
2097,Beauty,2,1688.92
8398,Home,1,1551.66
2040,Beauty,4,2669.74
1985,Fashion,1,1846.7
5806,Home,3,1589.13
8798,Grocery,1,1331.81
7866,Electronics,2,230.26
5930,Grocery,4,930.95
5905,Beauty,1,596.42
3348,Beauty,3,1860.28
8676,Fashion,2,2219.79
2937,Electronics,3,927.69
116,Grocery,1,1592.68
7905,Grocery,4,1919.75
3521,Electronics,2,2417.81
8803,Beauty,4,1767.92
7719,Fashion,3,1283.52
8793,Home,1,955.97
5142,Home,2,639.66
5544,Beauty,1,1891.99
5873,Electronics,1,2968.89
5702,Grocery,1,2489.6
6845,Electronics,1,1656.87
6958,Electronics,4,2548.35
6164,Home,1,2059.96
2752,Grocery,2,1153.74
6372,Grocery,3,2531.02
3162,Grocery,3,175.07
685,Electronics,4,1626.4
457,Home,3,403.67
5166,Fashion,4,474.03
2389,Beauty,3,2168.38
9821,Electronics,2,2343.98
8590,Fashion,3,2622.48
1266,Electronics,4,1054.8
3792,Beauty,1,757.63
971,Grocery,2,1069.39
9111,Beauty,3,2481.03
5582,Grocery,1,2949.4
4556,Electronics,2,504.56
2846,Beauty,4,2137.13
4976,Fashion,4,1473.76
3987,Beauty,3,1759.46
391,Home,3,2637.51
479,Beauty,1,2724.43
8919,Fashion,2,227.39
5726,Fashion,3,2046.2
777,Grocery,4,334.94
2863,Fashion,4,804.36
1131,Electronics,1,1157.54
7467,Fashion,3,933.07
3334,Fashion,4,432.75
5037,Grocery,4,2579.3
8025,Home,1,188.81
6989,Grocery,1,2246.86
8598,Fashion,3,310.81
805,Electronics,2,1525.23
9834,Beauty,2,731.05
8049,Home,2,1666.29
243,Beauty,3,1582.29
9225,Fashion,4,502.16
3993,Electronics,2,2420.29
7880,Beauty,3,941.69
9688,Grocery,2,737.23
851,Grocery,4,1830.07
6611,Grocery,3,660.03
711,Beauty,4,1016.87
5390,Beauty,2,173.04
181,Home,4,721.19
108,Grocery,4,2490.24
3929,Grocery,1,2604.16
5391,Grocery,4,1259.53
3511,Electronics,4,2689.07
2650,Beauty,2,1312.56
6831,Fashion,4,2398.87
2658,Beauty,4,507.85
9250,Beauty,3,1167.08
3627,Grocery,1,2524.13
6536,Fashion,2,585.4
8357,Home,2,1822.94
5884,Electronics,1,1315.69
8970,Electronics,4,1266.77
4159,Beauty,3,2680.3
3021,Electronics,2,1071.97
4195,Beauty,1,180.77
7222,Fashion,2,1477.35
4583,Beauty,4,255.82
7862,Electronics,1,297.94
1792,Beauty,3,2867.16
1159,Electronics,2,630.27
2949,Grocery,1,1671.68
1800,Home,3,1939.66
5655,Grocery,4,1140.33
6574,Fashion,3,158.87
4214,Home,4,2553.28
9191,Beauty,3,2926.45
9246,Grocery,3,2861.81
8137,Electronics,1,1481.87
4462,Beauty,4,927.97
5654,Fashion,1,2975.8
1802,Electronics,4,2250.27
9516,Electronics,4,2576.5
9750,Home,2,1431.94
944,Electronics,4,1334.62
7486,Home,4,1033.65
5125,Electronics,4,2774.52
7326,Home,1,1840.0
2605,Fashion,2,2041.59
6999,Beauty,1,1585.12
3279,Beauty,3,286.32
7569,Fashion,3,2131.76
9714,Grocery,2,1936.35
7699,Beauty,2,1850.13
8736,Grocery,3,2278.31
4332,Beauty,2,816.8
1488,Beauty,3,1933.76
2772,Electronics,1,1935.71
9360,Grocery,3,2908.39
739,Grocery,3,2248.56
9113,Home,2,2852.72
2156,Beauty,3,751.97
3509,Home,1,1932.08
671,Beauty,4,212.2
296,Beauty,2,1612.39
1657,Home,1,2123.04
6327,Electronics,2,1170.0
4046,Fashion,1,1356.27
8624,Home,3,2575.64
7031,Fashion,3,1788.12
9901,Grocery,1,1071.94
3848,Home,3,489.38
1010,Electronics,2,955.31
6711,Beauty,3,905.06
7434,Beauty,2,2837.08
4821,Electronics,2,934.26
7787,Home,4,1535.33
7334,Home,2,1502.92
3462,Electronics,2,2409.78
5233,Home,2,2612.38
9093,Home,3,932.31
7245,Grocery,1,2532.34
3043,Fashion,1,2305.38
4942,Fashion,2,172.63
7209,Home,1,1386.25
8641,Home,3,2221.62
6507,Home,4,1371.43
659,Home,2,275.3
1172,Beauty,1,2429.68
2195,Home,1,765.92
4963,Grocery,4,2733.8
631,Home,4,2780.78
9663,Fashion,4,1921.07
5346,Grocery,3,1097.15
3441,Beauty,2,2675.22
8136,Electronics,2,2172.75
4679,Fashion,4,1659.5
5948,Fashion,1,2754.86
4103,Electronics,3,2507.66
1168,Home,1,1569.14
22,Home,3,1494.26
6315,Grocery,3,2969.21
4071,Home,4,2316.23
7630,Beauty,1,622.1
9486,Grocery,4,588.38
3613,Electronics,1,1353.93
4529,Electronics,4,476.92
1945,Electronics,2,2080.1
