order_id,user_id,order_date,order_status,order_value,payment_mode
1,4670,2024-11-20,Completed,573.8,COD
2,628,2024-08-03,Completed,3436.99,COD
3,3878,2024-11-04,Completed,2867.74,UPI
4,512,2024-08-13,Completed,4202.69,UPI
5,3580,2024-03-08,Completed,2769.67,Card
6,3640,2024-11-20,Completed,1627.56,Card
7,762,2024-04-20,Completed,1135.62,COD
8,2246,2024-07-09,Completed,3528.45,COD
9,242,2024-08-15,Cancelled,2424.99,UPI
10,3110,2024-11-24,Cancelled,3380.6,COD
11,3585,2024-04-19,Completed,4195.9,Card
12,4593,2024-09-15,Completed,1820.02,COD
13,1292,2024-12-02,Completed,3257.09,Card
14,1473,2024-11-26,Completed,4669.36,COD
15,1340,2024-03-14,Completed,1291.52,COD
16,3811,2024-12-28,Completed,4329.9,COD
17,401,2024-12-11,Completed,1153.9,Card
18,4217,2024-08-08,Completed,1994.02,UPI
19,3759,2024-07-21,Completed,2317.29,Card
20,4680,2024-02-23,Completed,3127.28,UPI
21,3812,2024-10-12,Completed,1129.67,Card
22,1813,2024-06-14,Completed,2595.86,Card
23,2975,2024-01-04,Completed,4731.34,Card
24,3870,2024-12-10,Completed,1887.69,Card
25,1142,2024-11-19,Completed,1342.68,COD
26,973,2024-09-29,Completed,521.35,COD
27,2473,2024-05-10,Completed,3618.0,Card
28,3741,2024-01-17,Cancelled,2666.88,COD
29,1505,2024-02-16,Cancelled,2782.87,UPI
30,1449,2024-01-04,Completed,4889.04,Card
31,822,2024-11-21,Completed,1460.13,COD
32,1327,2024-02-05,Completed,4237.79,UPI
33,915,2024-07-24,Completed,1113.58,UPI
34,2921,2024-04-25,Completed,2448.89,UPI
35,2352,2024-02-18,Completed,3375.78,Card
36,319,2024-02-01,Cancelled,4295.57,UPI
37,2011,2024-06-23,Completed,3698.49,Card
38,487,2024-01-05,Completed,3240.57,Card
39,370,2024-04-24,Completed,381.73,UPI
40,3504,2024-07-30,Cancelled,2931.29,COD
41,3631,2024-08-30,Completed,2031.11,COD
42,501,2024-07-06,Cancelled,4848.1,COD
43,3654,2024-01-24,Cancelled,1835.07,Card
44,4255,2024-10-27,Completed,786.45,COD
45,2025,2024-03-01,Completed,979.93,UPI
46,4653,2024-11-04,Completed,3546.38,UPI
47,2774,2024-03-07,Completed,2238.34,COD
48,3595,2024-01-22,Completed,2163.61,UPI
49,4464,2024-09-02,Completed,2085.27,UPI
50,3552,2024-09-23,Completed,4809.8,UPI
51,1002,2024-10-17,Completed,978.58,UPI
52,1205,2024-11-27,Completed,4263.61,COD
53,76,2024-11-15,Completed,4320.89,Card
54,127,2024-11-12,Cancelled,3395.85,Card
55,3293,2024-07-29,Completed,1542.27,COD
56,4080,2024-05-16,Completed,3217.69,Card
57,919,2024-08-07,Completed,625.64,UPI
58,4042,2024-03-20,Completed,4684.51,COD
59,989,2024-12-02,Completed,3437.14,Card
60,3562,2024-08-20,Cancelled,972.51,UPI
61,493,2024-06-08,Cancelled,3962.16,UPI
62,1959,2024-09-23,Completed,1770.6,COD
63,3538,2024-09-25,Completed,488.98,COD
64,726,2024-07-09,Completed,1387.54,UPI
65,851,2024-10-18,Completed,3354.06,COD
66,2897,2024-11-11,Cancelled,3363.42,UPI
67,4529,2024-01-09,Completed,4789.08,Card
68,362,2024-08-31,Completed,2070.79,COD
69,1295,2024-10-26,Completed,3968.6,Card
70,4858,2024-08-19,Cancelled,2572.15,COD
71,959,2024-12-04,Completed,3813.82,UPI
72,616,2024-05-31,Completed,2661.24,COD
73,555,2024-02-04,Cancelled,2498.58,Card
74,468,2024-06-13,Completed,2103.53,COD
75,2676,2024-06-18,Completed,465.91,Card
76,4053,2024-01-30,Completed,4265.26,COD
77,3939,2024-07-22,Completed,3267.35,Card
78,2468,2024-03-26,Completed,2557.23,Card
79,4506,2024-04-21,Completed,2878.31,UPI
80,1728,2024-07-28,Completed,1229.61,COD
81,267,2024-05-30,Completed,4773.33,Card
82,4089,2024-03-28,Completed,1565.72,UPI
83,1908,2024-07-28,Cancelled,303.14,COD
84,3590,2024-03-23,Completed,3110.31,UPI
85,3074,2024-09-05,Cancelled,4168.49,COD
86,4720,2024-03-20,Completed,3261.28,COD
87,1865,2024-11-20,Completed,1624.22,UPI
88,4115,2024-08-25,Cancelled,2258.91,COD
89,2974,2024-12-24,Completed,3623.57,Card
90,4817,2024-04-29,Completed,3511.1,COD
91,3789,2024-03-11,Completed,2454.48,Card
92,153,2024-05-31,Completed,325.12,UPI
93,1523,2024-04-04,Completed,2928.26,UPI
94,4880,2024-05-14,Completed,2366.04,UPI
95,4089,2024-08-30,Completed,1771.09,UPI
96,4488,2024-05-02,Completed,3677.98,COD
97,853,2024-07-30,Completed,2169.35,UPI
98,3857,2024-12-22,Completed,2869.17,UPI
99,3674,2024-07-10,Completed,1121.8,COD
100,1422,2024-09-17,Completed,960.57,UPI
101,1139,2024-08-01,Completed,2503.68,UPI
102,2831,2024-02-08,Completed,985.68,Card
103,2834,2024-07-04,Completed,4645.84,COD
104,2873,2024-03-16,Completed,2802.48,UPI
105,210,2024-07-26,Completed,2895.25,UPI
