session_id,user_id,session_date,platform
1,3743,2024-04-08,Web
2,783,2024-09-14,Web
3,4217,2024-05-21,Android
4,766,2024-07-26,Web
5,3476,2024-04-22,iOS
6,773,2024-04-09,Android
7,3858,2024-04-13,Web
8,3186,2024-08-27,Web
9,540,2024-08-28,Web
10,2050,2024-10-17,iOS
11,3284,2024-05-28,Android
12,4676,2024-08-07,Android
13,1664,2024-03-22,Android
14,1048,2024-10-14,Web
15,3837,2024-05-30,iOS
16,3440,2024-05-13,Web
17,506,2024-10-11,Web
18,3248,2024-11-14,Android
19,3501,2024-08-12,iOS
20,1911,2024-05-04,Android
21,733,2024-04-05,iOS
22,3514,2024-12-02,Web
23,1572,2024-08-27,Web
24,4610,2024-11-09,Android
25,2943,2024-03-25,iOS
26,4457,2024-03-24,iOS
27,2322,2024-12-08,iOS
28,3336,2024-09-28,Web
29,4623,2024-01-06,Android
30,4375,2024-01-07,Android
31,2754,2024-01-14,Web
32,1373,2024-01-03,Android
33,1445,2024-08-12,Web
34,3377,2024-10-31,iOS
35,290,2024-10-18,iOS
36,2066,2024-10-11,Web
37,64,2024-06-16,iOS
38,3946,2024-05-11,Web
39,330,2024-04-30,iOS
40,4859,2024-08-23,Android
41,1964,2024-01-23,Web
42,3089,2024-04-11,Android
43,2491,2024-05-11,Web
44,141,2024-09-30,Android
45,4540,2024-01-01,Web
46,2474,2024-02-01,Android
47,3904,2024-05-28,Web
48,450,2024-06-14,iOS
49,1826,2024-10-23,Web
50,4447,2024-06-25,Web
51,4695,2024-12-06,Web
52,4807,2024-04-02,iOS
53,870,2024-04-26,Android
54,3565,2024-04-05,iOS
55,3660,2024-02-28,iOS
56,3603,2024-05-20,Android
57,393,2024-11-12,Web
58,842,2024-02-20,Web
59,2449,2024-09-11,Android
60,2792,2024-03-31,iOS
61,2954,2024-11-16,Android
62,1359,2024-10-31,Web
63,991,2024-06-25,Android
64,1039,2024-04-12,Android
65,28,2024-05-21,Web
66,388,2024-01-30,iOS
67,833,2024-05-21,Android
68,250,2024-07-21,Web
69,2028,2024-08-10,Web
70,1529,2024-12-13,iOS
71,4194,2024-11-13,Web
72,1839,2024-01-03,iOS
73,1361,2024-02-08,Web
74,3110,2024-10-01,Android
75,1324,2024-12-26,Android
76,2227,2024-04-07,Android
77,3681,2024-05-07,Web
78,892,2024-06-15,Android
79,1306,2024-09-22,iOS
80,4549,2024-12-10,Android
81,4193,2024-05-30,Android
82,262,2024-09-04,Web
83,2341,2024-02-28,iOS
84,1794,2024-08-05,iOS
85,2297,2024-03-23,Android
86,2293,2024-04-11,iOS
87,2171,2024-05-27,Android
88,325,2024-08-31,iOS
89,986,2024-10-26,Web
90,4783,2024-09-30,Android
91,3853,2024-02-17,Android
92,1740,2024-11-26,iOS
93,1861,2024-09-06,Android
94,3138,2024-08-04,Web
95,3899,2024-08-22,Android
96,836,2024-01-01,Web
97,4155,2024-04-06,Android
