user_id,signup_date,city,device,acquisition_channel
1,2024-04-12,Delhi,Mobile,Referral
2,2024-12-14,Pune,Web,Referral
3,2024-09-27,Delhi,Mobile,Ads
4,2024-04-16,Mumbai,Web,Organic
5,2024-03-12,Delhi,Mobile,Organic
6,2024-07-07,Hyderabad,Mobile,Organic
7,2024-01-21,Hyderabad,Mobile,Referral
8,2024-04-12,Delhi,Mobile,Ads
9,2024-05-01,Hyderabad,Mobile,Organic
10,2024-08-02,Pune,Web,Organic
11,2024-11-26,Delhi,Mobile,Ads
12,2024-03-28,Pune,Mobile,Referral
13,2024-04-09,Pune,Web,Referral
14,2024-12-25,Bangalore,Web,Organic
15,2024-05-31,Delhi,Web,Organic
16,2024-05-10,Hyderabad,Mobile,Ads
17,2024-05-29,Pune,Mobile,Organic
18,2024-11-04,Bangalore,Web,Ads
19,2024-09-14,Delhi,Web,Organic
20,2024-12-09,Delhi,Web,Organic
21,2024-10-20,Mumbai,Web,Organic
22,2024-07-10,Mumbai,Mobile,Referral
23,2024-10-03,Pune,Mobile,Ads
24,2024-06-09,Mumbai,Mobile,Ads
25,2024-11-09,Pune,Mobile,Referral
26,2024-01-22,Hyderabad,Mobile,Referral
27,2024-09-09,Pune,Web,Referral
28,2024-08-23,Mumbai,Mobile,Ads
29,2024-12-10,Hyderabad,Web,Organic
30,2024-02-18,Mumbai,Web,Referral
31,2024-02-28,Pune,Web,Referral
32,2024-06-18,Bangalore,Mobile,Referral
33,2024-07-06,Delhi,Web,Organic
34,2024-09-27,Mumbai,Mobile,Organic
35,2024-07-08,Pune,Web,Referral
36,2024-06-23,Hyderabad,Mobile,Organic
37,2024-02-20,Mumbai,Web,Referral
38,2024-12-29,Mumbai,Mobile,Organic
39,2024-02-24,Delhi,Web,Ads
40,2024-08-31,Pune,Web,Ads
41,2024-11-15,Bangalore,Web,Organic
42,2024-05-10,Hyderabad,Web,Ads
43,2024-11-02,Pune,Mobile,Ads
44,2024-05-14,Hyderabad,Mobile,Ads
45,2024-01-21,Mumbai,Mobile,Referral
46,2024-11-24,Delhi,Web,Organic
47,2024-06-15,Delhi,Web,Organic
48,2024-09-30,Bangalore,Web,Organic
49,2024-03-29,Delhi,Web,Ads
50,2024-11-11,Mumbai,Web,Referral
51,2024-01-14,Bangalore,Web,Organic
52,2024-08-29,Pune,Mobile,Ads
53,2024-09-21,Delhi,Mobile,Referral
54,2024-12-11,Bangalore,Mobile,Referral
55,2024-02-22,Mumbai,Mobile,Organic
56,2024-12-05,Hyderabad,Mobile,Organic
57,2024-04-01,Hyderabad,Mobile,Ads
58,2024-09-20,Mumbai,Mobile,Organic
59,2024-02-04,Mumbai,Mobile,Ads
60,2024-07-24,Hyderabad,Web,Referral
61,2024-03-21,Bangalore,Web,Referral
62,2024-02-19,Hyderabad,Web,Referral
63,2024-12-25,Mumbai,Web,Referral
64,2024-01-02,Delhi,Web,Organic
65,2024-02-23,Pune,Web,Organic
66,2024-04-15,Delhi,Web,Ads
67,2024-09-16,Delhi,Mobile,Ads
68,2024-11-05,Mumbai,Mobile,Ads
69,2024-07-09,Hyderabad,Web,Ads
70,2024-08-05,Bangalore,Mobile,Ads
71,2024-02-13,Delhi,Mobile,Referral
72,2024-06-10,Hyderabad,Mobile,Referral
73,2024-07-20,Bangalore,Mobile,Referral
74,2024-09-26,Delhi,Mobile,Ads
75,2024-12-16,Bangalore,Web,Referral
76,2024-10-30,Hyderabad,Mobile,Referral
77,2024-09-27,Pune,Web,Referral
78,2024-08-02,Hyderabad,Web,Referral
79,2024-09-08,Mumbai,Web,Organic
80,2024-07-08,Bangalore,Mobile,Ads
81,2024-10-22,Pune,Web,Ads
82,2024-07-31,Bangalore,Web,Organic
83,2024-07-26,Bangalore,Web,Referral
84,2024-08-24,Delhi,Web,Referral
85,2024-12-03,Mumbai,Mobile,Referral
86,2024-02-22,Bangalore,Web,Ads
87,2024-10-06,Hyderabad,Web,Ads
88,2024-08-04,Hyderabad,Web,Ads
89,2024-09-08,Delhi,Web,Ads
90,2024-07-06,Mumbai,Mobile,Ads
91,2024-02-10,Mumbai,Web,Organic
92,2024-06-05,Hyderabad,Web,Ads
93,2024-01-15,Pune,Web,Referral
94,2024-10-27,Delhi,Web,Ads
95,2024-03-05,Delhi,Web,Organic
96,2024-12-10,Hyderabad,Web,Referral
97,2024-11-22,Hyderabad,Mobile,Organic
98,2024-01-09,Pune,Web,Referral
99,2024-12-09,Pune,Mobile,Ads
100,2024-05-08,Mumbai,Mobile,Organic
101,2024-05-15,Delhi,Web,Referral
102,2024-03-03,Delhi,Mobile,Ads
103,2024-05-18,Hyderabad,Web,Referral
104,2024-03-21,Mumbai,Mobile,Organic
105,2024-06-11,Delhi,Web,Organic
106,2024-10-15,Mumbai,Mobile,Organic
107,2024-09-17,Mumbai,Mobile,Organic
108,2024-08-18,Hyderabad,Web,Ads
109,2024-02-10,Mumbai,Mobile,Referral
110,2024-01-28,Pune,Mobile,Ads
111,2024-05-14,Pune,Mobile,Organic
112,2024-07-19,Bangalore,Mobile,Referral
113,2024-11-23,Hyderabad,Mobile,Organic
114,2024-09-24,Bangalore,Web,Ads
115,2024-02-02,Pune,Mobile,Ads
116,2024-02-17,Bangalore,Mobile,Ads
117,2024-03-02,Hyderabad,Web,Referral
118,2024-08-03,Hyderabad,Web,Referral
119,2024-10-19,Mumbai,Web,Organic
120,2024-04-08,Delhi,Mobile,Referral
121,2024-06-20,Mumbai,Mobile,Referral
122,2024-12-25,Hyderabad,Mobile,Ads
123,2024-08-01,Pune,Mobile,Organic
124,2024-02-04,Pune,Web,Ads
125,2024-08-14,Mumbai,Web,Organic
126,2024-04-10,Hyderabad,Mobile,Organic
127,2024-05-10,Pune,Mobile,Referral
128,2024-09-13,Hyderabad,Mobile,Ads
129,2024-01-05,Pune,Mobile,Referral
130,2024-08-05,Hyderabad,Web,Referral
131,2024-09-11,Bangalore,Web,Referral
132,2024-12-24,Hyderabad,Mobile,Organic
133,2024-10-09,Hyderabad,Web,Ads
134,2024-07-25,Mumbai,Mobile,Ads
135,2024-01-15,Bangalore,Mobile,Referral
136,2024-12-11,Delhi,Web,Organic
137,2024-02-11,Mumbai,Mobile,Ads
138,2024-06-27,Delhi,Web,Ads
139,2024-03-03,Pune,Mobile,Referral
140,2024-12-17,Delhi,Web,Organic
141,2024-08-18,Hyderabad,Mobile,Referral
142,2024-08-28,Delhi,Web,Ads
143,2024-02-21,Mumbai,Mobile,Organic
144,2024-04-05,Mumbai,Mobile,Referral
145,2024-08-09,Delhi,Web,Ads
146,2024-08-18,Mumbai,Mobile,Referral
147,2024-08-24,Mumbai,Web,Referral
148,2024-05-22,Delhi,Web,Referral
149,2024-06-19,Bangalore,Mobile,Organic
150,2024-01-29,Bangalore,Mobile,Ads
151,2024-02-05,Pune,Mobile,Ads
152,2024-01-13,Mumbai,Mobile,Ads
153,2024-06-08,Delhi,Web,Ads
154,2024-11-22,Mumbai,Mobile,Organic
155,2024-07-05,Hyderabad,Mobile,Referral
156,2024-08-30,Mumbai,Mobile,Ads
157,2024-03-26,Mumbai,Web,Organic
158,2024-10-10,Bangalore,Mobile,Referral
159,2024-03-06,Delhi,Web,Organic
160,2024-06-18,Mumbai,Mobile,Organic
161,2024-02-14,Bangalore,Web,Ads
162,2024-03-02,Pune,Mobile,Ads
163,2024-05-13,Bangalore,Mobile,Referral
164,2024-10-10,Bangalore,Web,Referral
165,2024-01-28,Bangalore,Mobile,Ads
166,2024-04-17,Mumbai,Mobile,Organic
167,2024-02-13,Mumbai,Mobile,Ads
168,2024-12-05,Pune,Web,Referral
169,2024-10-12,Hyderabad,Mobile,Organic
170,2024-11-26,Hyderabad,Web,Organic
171,2024-05-07,Hyderabad,Web,Organic
172,2024-12-13,Pune,Web,Ads
173,2024-08-18,Hyderabad,Mobile,Ads
174,2024-07-08,Hyderabad,Web,Referral
175,2024-08-12,Bangalore,Web,Organic
176,2024-10-09,Mumbai,Mobile,Organic
177,2024-04-30,Mumbai,Web,Ads
178,2024-04-25,Bangalore,Web,Referral
179,2024-08-20,Bangalore,Mobile,Referral
180,2024-09-15,Bangalore,Mobile,Organic
181,2024-12-24,Mumbai,Web,Ads
182,2024-07-16,Hyderabad,Mobile,Organic
183,2024-05-16,Bangalore,Mobile,Ads
184,2024-11-13,Pune,Mobile,Referral
185,2024-06-13,Bangalore,Web,Organic
186,2024-08-12,Delhi,Web,Organic
187,2024-11-02,Bangalore,Mobile,Organic
188,2024-08-21,Mumbai,Web,Referral
189,2024-06-20,Bangalore,Mobile,Organic
190,2024-05-31,Delhi,Mobile,Referral
191,2024-11-10,Pune,Mobile,Ads
192,2024-06-08,Hyderabad,Mobile,Referral
193,2024-04-05,Bangalore,Mobile,Ads
194,2024-08-20,Delhi,Web,Referral
195,2024-06-28,Delhi,Web,Referral
196,2024-04-22,Pune,Web,Organic
197,2024-11-13,Mumbai,Web,Referral
198,2024-02-21,Bangalore,Mobile,Organic
199,2024-09-24,Delhi,Mobile,Ads
200,2024-10-21,Pune,Web,Ads
201,2024-04-22,Hyderabad,Web,Organic
202,2024-04-10,Delhi,Mobile,Ads
203,2024-04-22,Pune,Mobile,Referral
204,2024-03-21,Mumbai,Mobile,Organic
205,2024-07-05,Mumbai,Web,Organic
206,2024-04-22,Delhi,Mobile,Organic
207,2024-01-02,Delhi,Mobile,Ads
208,2024-05-09,Bangalore,Web,Ads
209,2024-08-07,Pune,Web,Referral
210,2024-02-23,Delhi,Web,Referral
211,2024-12-08,Bangalore,Mobile,Organic
212,2024-08-11,Bangalore,Mobile,Referral
213,2024-08-12,Delhi,Web,Ads
214,2024-05-05,Mumbai,Mobile,Referral
215,2024-05-09,Pune,Mobile,Ads
216,2024-02-22,Pune,Mobile,Referral
217,2024-06-20,Mumbai,Web,Ads
218,2024-08-05,Delhi,Web,Ads
219,2024-06-08,Pune,Mobile,Referral
220,2024-07-16,Delhi,Mobile,Referral
221,2024-09-03,Delhi,Mobile,Ads
222,2024-11-19,Bangalore,Mobile,Organic
223,2024-07-21,Mumbai,Web,Referral
224,2024-07-02,Delhi,Web,Ads
225,2024-05-02,Hyderabad,Mobile,Referral
226,2024-09-11,Mumbai,Mobile,Referral
227,2024-10-20,Pune,Web,Referral
228,2024-10-06,Bangalore,Mobile,Referral
229,2024-11-20,Pune,Web,Referral
230,2024-04-07,Pune,Mobile,Organic
231,2024-07-16,Mumbai,Web,Organic
232,2024-08-27,Pune,Mobile,Organic
233,2024-05-23,Delhi,Mobile,Ads
234,2024-04-06,Pune,Web,Organic
235,2024-07-19,Bangalore,Web,Organic
236,2024-05-03,Bangalore,Mobile,Ads
237,2024-07-05,Hyderabad,Mobile,Organic
238,2024-11-21,Bangalore,Web,Referral
239,2024-12-14,Pune,Web,Organic
240,2024-09-15,Bangalore,Mobile,Organic
241,2024-05-27,Mumbai,Mobile,Organic
242,2024-09-08,Bangalore,Web,Referral
243,2024-12-11,Delhi,Web,Referral
244,2024-05-26,Mumbai,Web,Referral
245,2024-05-27,Hyderabad,Web,Referral
246,2024-12-17,Delhi,Web,Ads
247,2024-07-17,Pune,Mobile,Referral
248,2024-11-03,Pune,Mobile,Referral
249,2024-05-07,Pune,Web,Referral
250,2024-02-08,Delhi,Mobile,Referral
251,2024-12-03,Delhi,Mobile,Ads
252,2024-12-25,Delhi,Web,Organic
253,2024-05-08,Mumbai,Mobile,Organic
254,2024-09-23,Mumbai,Mobile,Referral
255,2024-05-30,Pune,Mobile,Referral
256,2024-10-24,Bangalore,Web,Referral
257,2024-04-08,Pune,Web,Organic
258,2024-09-19,Hyderabad,Mobile,Organic
259,2024-09-08,Mumbai,Mobile,Referral
260,2024-05-23,Delhi,Mobile,Organic
261,2024-12-11,Mumbai,Mobile,Ads
262,2024-04-21,Delhi,Mobile,Referral
263,2024-02-29,Hyderabad,Mobile,Referral
264,2024-01-02,Hyderabad,Web,Ads
265,2024-10-30,Mumbai,Mobile,Ads
266,2024-09-10,Delhi,Mobile,Organic
